Name,Platform,Genre,Global_Sales
50 Classic Games,DS,Misc,0.55
Fighting Force 2,PS,Action,0.55
Sakura Wars,SAT,Adventure,0.55
Yokai Sangokushi,3DS,Action,0.55
Extermination,PS2,Action,0.55
Batman: Vengeance,PS2,Adventure,0.55
Unit 13,PSV,Shooter,0.55
Tatsunoko vs. Capcom: Ultimate All-Stars,Wii,Fighting,0.55
TMNT,X360,Action,0.55
F.E.A.R.,PS3,Shooter,0.55
Secret Agent Clank(US sales),PSP,Platform,0.55
Assassin's Creed: Unity,PC,Action,0.55
Derby Stallion 04,PS2,Sports,0.55
NBA 2K8,PS3,Sports,0.55
Barbie Horse Adventures: Riding Camp,DS,Sports,0.55
CrossworDS,DS,Puzzle,0.55
Tony Hawk's Pro Skater 3,XB,Sports,0.55
Mega Man Zero,GBA,Platform,0.55
Contender 2,PS,Fighting,0.55
The Amazing Spider-Man 2 (2014),PS4,Action,0.55
Star Wars: Dark Forces,PS,Shooter,0.55
SD Gundam G Generation Zero,PS,Strategy,0.55
Super Robot Taisen F,SAT,Strategy,0.55
Shrek 2,XB,Platform,0.55
Soccer Tsuku 2002: J-League Pro Soccer Club o Tsukurou!,PS2,Sports,0.55
Time Crisis: Razing Storm,PS3,Shooter,0.55
SpongeBob SquarePants: SuperSponge,GBA,Action,0.55
Super Robot Taisen F Kanketsuhen,SAT,Strategy,0.55
Enslaved: Odyssey to the West,X360,Action,0.55
Rune Factory 4,3DS,Role-Playing,0.55
Summer Sports: Paradise Island,Wii,Sports,0.55
Tak and the Power of Juju,GBA,Platform,0.55
Dynasty Warriors: Gundam 3,PS3,Action,0.55
Mortal Kombat 3,PS,Fighting,0.55
Turok: Evolution,XB,Shooter,0.55
Jak X: Combat Racing,PS2,Racing,0.55
Metro 2033,X360,Shooter,0.55
Are You Smarter than a 5th Grader? Make the Grade,Wii,Misc,0.55
American Idol,PS2,Misc,0.55
Top Gun: Fire at Will!,PS,Misc,0.55
Red Dead Revolver,XB,Shooter,0.55
Dragon Ball Z: Shin Budokai,PSP,Fighting,0.55
LEGO The Hobbit,PS3,Action,0.54
Iron Man,PS2,Action,0.54
SingStar Summer Party,PS2,Misc,0.54
Tiger Woods PGA Tour 08,X360,Sports,0.54
NBA Live 10,PS3,Sports,0.54
The SpongeBob SquarePants Movie,XB,Platform,0.54
FIFA Soccer 07,XB,Sports,0.54
Gekikuukan Pro Yakyuu: At the End of the Century 1999,PS2,Sports,0.54
Medarot 2: Kabuto / Kuwagata Version,GB,Role-Playing,0.54
Excite Truck,Wii,Racing,0.54
Sacred 2: Fallen Angel,X360,Role-Playing,0.54
System 3 presents Ferrari Challenge Trofeo Pirelli,Wii,Racing,0.54
Dance Dance Revolution Ultramix,XB,Simulation,0.54
ModNation Racers,PSP,Racing,0.54
Crash Tag Team Racing,PS2,Racing,0.54
Two Worlds II,X360,Role-Playing,0.54
Sonic & All-Stars Racing Transformed,PS3,Racing,0.54
Michael Jackson: The Experience,PS3,Misc,0.54
Front Mission 4,PS2,Strategy,0.54
The Fairly Odd Parents: Breakin' Da Rules,GBA,Platform,0.54
LEGO Dimensions,PS3,Action,0.54
Inazuma Eleven,DS,Role-Playing,0.54
Ninokuni: Shikkoku no Madoushi,DS,Role-Playing,0.54
Minecraft: Story Mode,XOne,Adventure,0.54
Resident Evil: Revelations 2,PS4,Action,0.54
Manhunt 2,Wii,Action,0.54
SRS: Street Racing Syndicate,PS2,Racing,0.54
Despicable Me: The Game - Minion Mayhem,DS,Puzzle,0.54
Action Force,2600,Action,0.54
Gauntlet Legends,N64,Action,0.54
FIFA 99,N64,Sports,0.54
Kidou Senshi Gundam: Extreme VS,PS3,Fighting,0.54
Dragon Ball Z: Ultimate Tenkaichi,X360,Fighting,0.54
Tales of Symphonia,PS3,Role-Playing,0.54
Bust A Groove,PS,Misc,0.54
Fire Emblem: Path of Radiance,GC,Action,0.54
Dragon Quest Characters: Torneko no Daibouken 3: Fushigi no Dungeon,PS2,Role-Playing,0.54
Let's Draw!,DS,Misc,0.54
Pachi-Slot Aruze Oukoku 2,PS,Misc,0.54
NHL 14,X360,Sports,0.54
Valkyria Chronicles II,PSP,Role-Playing,0.54
Middle-Earth: Shadow of Mordor,X360,Action,0.54
Madden NFL 13,Wii,Sports,0.54
Rune Factory 2: A Fantasy Harvest Moon,DS,Role-Playing,0.54
Terminator Salvation,PS3,Shooter,0.54
Cars 2,PS3,Racing,0.54
Bratz: Rock Angelz,GBA,Misc,0.54
How to Train Your Dragon,DS,Action,0.54
SSX Tricky,GC,Sports,0.54
WWE SmackDown vs. Raw 2010,DS,Fighting,0.54
Greg Hastings' Tournament Paintball,XB,Shooter,0.54
Hello Kitty: Big City Dreams,DS,Puzzle,0.54
Star Fox Command,DS,Shooter,0.54
World Soccer Winning Eleven 7 International (JP version),PS2,Sports,0.54
ESPN NBA Basketball,PS2,Sports,0.54
Inazuma Eleven GO,3DS,Role-Playing,0.54
Over the Hedge,PS2,Platform,0.54
Mat Hoffman's Pro BMX,PS,Sports,0.54
Lego Star Wars: The Force Awakens,PS4,Action,0.54
Epic Mickey 2: The Power of Two,X360,Action,0.54
Popeye,2600,Platform,0.54
Magician's Quest: Mysterious Times,DS,Role-Playing,0.54
The Hobbit,PS2,Platform,0.54
War of the Monsters,PS2,Fighting,0.54
Tales of Symphonia: Dawn of the New World,Wii,Role-Playing,0.54
The Incredible Hulk: Ultimate Destruction,PS2,Action,0.54
Star Wars Battlefront (2015),PC,Shooter,0.54
"Sakura Taisen 2 - Kimi, Shinitamou Koto Nakare",SAT,Adventure,0.53
Jewel Master Egypt,DS,Puzzle,0.53
Time Crisis II,PS2,Shooter,0.53
Clock Tower,PS,Adventure,0.53
NCAA March Madness 06,PS2,Sports,0.53
SpongeBob SquarePants featuring Nicktoons: Globs of Doom,Wii,Action,0.53
Jampack Volume 11,PS2,Misc,0.53
Dragon's Crown,PS3,Role-Playing,0.53
Tactics Ogre: Let Us Cling Together,PSP,Role-Playing,0.53
Legacy of Kain: Defiance,PS2,Action,0.53
SpongeBob SquarePants: Game Boy Advance Video Volume 2,GBA,Misc,0.53
NCAA March Madness 2005,PS2,Sports,0.53
007 Racing,PS,Racing,0.53
Conflict: Vietnam,PS2,Shooter,0.53
2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,XB,Misc,0.53
Mystery Dungeon: Shiren the Wanderer,DS,Role-Playing,0.53
SimAnimals,DS,Simulation,0.53
MLB SlugFest 20-04,PS2,Sports,0.53
Gex 3: Deep Cover Gecko,PS,Platform,0.53
NASCAR 09,PS2,Racing,0.53
Blitz: The League,XB,Sports,0.53
Jampack Vol. 2,PS,Misc,0.53
LEGO Jurassic World,WiiU,Action,0.53
Sesame Street: Once Upon A Monster,X360,Misc,0.53
Virtual Soccer,SNES,Sports,0.53
Romance of the Three Kingdoms IV: Wall of Fire,SNES,Strategy,0.53
Winning Post,SNES,Sports,0.53
Peter Jackson's King Kong: The Official Game of the Movie,XB,Action,0.53
SingStar Dance,PS3,Misc,0.53
Kirby and the Rainbow Curse,WiiU,Platform,0.53
Burnout Revenge,XB,Racing,0.53
FIFA 12,PSP,Sports,0.53
Medal of Honor: European Assault,XB,Shooter,0.53
Batman: Arkham City,PC,Action,0.53
Ty the Tasmanian Tiger 2: Bush Rescue,PS2,Platform,0.53
The Lord of the Rings: The Fellowship of the Ring,XB,Action,0.53
NBA 06,PS2,Sports,0.53
Sonic & All-Stars Racing Transformed,WiiU,Racing,0.53
Spider-Man,N64,Action,0.53
We Cheer,Wii,Simulation,0.53
Tom Clancy's Ghost Recon Advanced Warfighter 2,PSP,Shooter,0.53
X-Men Legends,GC,Role-Playing,0.53
Alice in Wonderland,Wii,Adventure,0.53
Littlest Pet Shop 3: Biggest Stars - Blue / Pink / Purple Team,DS,Simulation,0.53
Front Mission 2,PS,Strategy,0.53
Bulletstorm,PS3,Shooter,0.53
F.E.A.R. 2: Project Origin,X360,Shooter,0.53
Tiger Woods PGA Tour 11,X360,Sports,0.53
Stuntman: Ignition,PS3,Racing,0.53
Are You Smarter Than A 5th Grader?,DS,Misc,0.53
F1 2009,PSP,Racing,0.53
Oni,PS2,Action,0.53
The Lord of the Rings: The Two Towers,GC,Action,0.53
Juiced,PS2,Racing,0.53
The Warriors,PS2,Action,0.53
Batman: Arkham Origins Blackgate,PSV,Action,0.53
J-League Soccer: Prime Goal 2,SNES,Sports,0.53
Go Diego Go! Safari Rescue,Wii,Action,0.53
The Walking Dead: Survival Instinct,PS3,Shooter,0.53
Picross 3D,DS,Puzzle,0.53
Just Dance 2015,XOne,Misc,0.53
Silent Hill: Origins,PSP,Action,0.53
NASCAR 2000,N64,Racing,0.53
Wayne Gretzky's 3D Hockey,N64,Sports,0.53
Pachi-Slot Aruze Oukoku 4,PS,Misc,0.53
Return to Castle Wolfenstein: Operation Resurrection,PS2,Shooter,0.53
Mario Tennis: Power Tour,GBA,Sports,0.52
Seaman,DC,Simulation,0.52
Guinness World Records: The Videogame,DS,Action,0.52
The Grinch,PS,Adventure,0.52
GT Pro Series,Wii,Racing,0.52
Tales of Destiny,PS2,Role-Playing,0.52
Spectrobes: Beyond the Portals,DS,Role-Playing,0.52
Classic Word Games,DS,Misc,0.52
Naruto Shippuden: Clash of Ninja Revolution 3,Wii,Fighting,0.52
Fight Night Round 3,PSP,Fighting,0.52
The Golden Compass,PS2,Action,0.52
Final Fantasy Chronicles,PS,Role-Playing,0.52
NBA Live 08,X360,Sports,0.52
Syphon Filter 3,PS,Shooter,0.52
Star Wars Battlefront: Elite Squadron,DS,Shooter,0.52
Metal Gear Solid 2: Substance,PS2,Action,0.52
We Love Katamari,PS2,Puzzle,0.52
NCAA Football 2003,XB,Sports,0.52
Way of the Samurai 3,PS3,Action,0.52
NBA Live 09,PS3,Sports,0.52
DC Universe Online,PS3,Role-Playing,0.52
Ready 2 Rumble Boxing: Round 2,PS,Fighting,0.52
Mega Man 6,NES,Platform,0.52
Mission: Impossible,PS,Action,0.52
Final Fantasy Explorers,3DS,Role-Playing,0.52
Rival Schools: United By Fate,PS,Fighting,0.52
Bully: Scholarship Edition,Wii,Action,0.52
IL-2 Sturmovik: Birds of Prey,X360,Simulation,0.52
PlayStation All-Stars Battle Royale,PSV,Action,0.52
Ratatouille,PS3,Action,0.52
Cars Toon: Mater's Tall Tales,Wii,Misc,0.52
Kung Fu Panda,PS3,Action,0.52
Swing Away Golf,PS2,Sports,0.52
J-League Pro Soccer Club o Tsukurou! 3,PS2,Sports,0.52
Tomb Raider: Legend,PS2,Action,0.52
Ratatouille,Wii,Action,0.52
Freedom Fighters,PS2,Shooter,0.52
Gun,XB,Shooter,0.52
That's So Raven 2: Supernatural Style,GBA,Adventure,0.52
Lair,PS3,Action,0.52
Madden NFL 07,PS3,Sports,0.52
The Punisher,PS2,Action,0.52
Front Mission 3,PS,Strategy,0.52
Kenkou Ouen Recipe 1000: DS Kondate Zenshuu,DS,Misc,0.52
SSX On Tour,PS2,Sports,0.52
Tony Hawk's Pro Skater 3,GBA,Sports,0.52
Harry Potter and the Prisoner of Azkaban,GBA,Action,0.52
Petz: Hamsterz Life 2,DS,Misc,0.52
Omega Boost,PS,Shooter,0.52
The Sims 2: Open for Business,PC,Simulation,0.52
Iron Man,DS,Action,0.52
NFL 2K3,XB,Sports,0.52
NBA Live 2002,PS,Sports,0.52
Jampack Winter 2002,PS2,Misc,0.52
My Word Coach,Wii,Misc,0.51
Way of the Samurai,PS2,Action,0.51
Dragon Age: Origins,PC,Role-Playing,0.51
Naruto Shippuden: Ultimate Ninja Storm 3,X360,Fighting,0.51
Pac-Man Fever,PS2,Misc,0.51
The LEGO Movie Videogame,XOne,Action,0.51
The 3rd Birthday,PSP,Role-Playing,0.51
Prince of Persia Trilogy,PS3,Action,0.51
International Track & Field,PS,Sports,0.51
100 All-Time Favorites,DS,Puzzle,0.51
HSX HyperSonic.Xtreme,PS2,Racing,0.51
StarCraft II: Legacy of the Void,PC,Strategy,0.51
Tiger Woods PGA Tour 13,X360,Sports,0.51
SoulCalibur: Broken Destiny,PSP,Fighting,0.51
The Saboteur,X360,Action,0.51
Lords of the Fallen,PS4,Role-Playing,0.51
Pro Evolution Soccer 2010,Wii,Sports,0.51
Goldeneye 007: Reloaded,X360,Shooter,0.51
Jam With the Band,DS,Misc,0.51
Madden NFL 2004,GC,Sports,0.51
Jikkyou Powerful Pro Yakyuu 10,PS2,Sports,0.51
Summoner,PS2,Role-Playing,0.51
Virtual Pool,PS,Sports,0.51
NBA Live 07,PSP,Sports,0.51
Sega Bass Fishing,Wii,Sports,0.51
Fire Emblem: Radiant Dawn,Wii,Strategy,0.51
Dynasty Warriors,PSP,Action,0.51
"SpongeBob SquarePants: Lights, Camera, Pants!",GBA,Misc,0.51
Dragon Ball: Raging Blast,X360,Fighting,0.51
Rugrats: Scavenger Hunt,N64,Misc,0.51
Wrecking Crew,NES,Platform,0.51
International Superstar Soccer 2000 (All region sales),N64,Sports,0.51
Major League Baseball 2K10,X360,Sports,0.51
Monsters vs. Aliens,DS,Action,0.51
"Transformers: War for Cybertron (XBox 360, PS3, & PC Versions)",PS3,Shooter,0.51
SpongeBob SquarePants: Creature from the Krusty Krab,Wii,Platform,0.51
Lost: Via Domus,PS3,Action,0.51
NBA Live 2004,XB,Sports,0.51
Dai-4-Ji Super Robot Taisen S,PS,Strategy,0.51
Disney's Kim Possible: Revenge of Monkey Fist,GBA,Platform,0.51
WWE SmackDown vs. RAW 2007,X360,Fighting,0.51
Ace Combat Zero: The Belkan War,PS2,Simulation,0.51
R.U.S.E.,PS3,Strategy,0.51
Disgaea 3: Absence of Justice,PS3,Role-Playing,0.51
Test Drive Unlimited,PSP,Racing,0.51
LEGO Dimensions,WiiU,Action,0.51
Picross DS,DS,Puzzle,0.51
Final Fantasy II Anniversary Edition,PSP,Role-Playing,0.51
NHL 07,PS2,Sports,0.51
Harry Potter and the Half-Blood Prince,PSP,Action,0.51
Quantum Break,XOne,Action,0.51
NBA 2K11,Wii,Action,0.51
World Championship Poker,XB,Misc,0.51
The BIGS,PS2,Sports,0.51
Final Fantasy,WS,Role-Playing,0.51
Burnout Revenge,X360,Racing,0.51
Rory McIlroy PGA Tour,PS4,Action,0.51
Euro Truck Simulator,PC,Simulation,0.51
Dragon Ball Z: Supersonic Warriors,GBA,Fighting,0.51
Dishonored,PC,Action,0.51
Paws & Claws: Dogs & Cats Best Friends,DS,Simulation,0.51
NBA Ballers,XB,Sports,0.51
Silent Hill 4: The Room,PS2,Action,0.51
River Raid II,2600,Shooter,0.51
Capcom Classics Collection,PS2,Misc,0.51
Guitar Hero Live,XOne,Misc,0.51
Wolfenstein: The New Order,PS3,Shooter,0.51
Monopoly Party,PS2,Misc,0.51
Hidden Mysteries: Titanic - Secrets of the Fateful Voyage,DS,Adventure,0.51
NHL FaceOff 98,PS,Sports,0.51
The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,GBA,Action,0.5
F1 2012,X360,Racing,0.5
NHL 09,X360,Sports,0.5
Sonic Riders,PS2,Racing,0.5
Looney Tunes: Back in Action,PS2,Platform,0.5
Midnight Magic,2600,Action,0.5
Alice: Madness Returns,X360,Adventure,0.5
Pro Evolution Soccer 2012,X360,Action,0.5
Tiger Woods PGA Tour 07,PS3,Sports,0.5
Midnight Club II,XB,Racing,0.5
Atelier Rorona: Alchemist of Arland,PS3,Role-Playing,0.5
Monster Hunter Freedom 2,PS3,Role-Playing,0.5
Dragon Ball Z: Supersonic Warriors 2,DS,Fighting,0.5
Avatar: The Last Airbender,GC,Adventure,0.5
Blue's Clues: Blue's Big Musical,PS,Misc,0.5
The Mummy Returns,PS2,Action,0.5
Hitman: Blood Money,PS2,Action,0.5
Disney Sing It,PS2,Misc,0.5
Chopper Command,2600,Shooter,0.5
Activision Anthology,PS2,Misc,0.5
Crash: Mind Over Mutant,PS2,Platform,0.5
WWE 2K16,X360,Sports,0.5
LEGO The Hobbit,X360,Action,0.5
Babysitting Mama,Wii,Simulation,0.5
Boogie,Wii,Misc,0.5
Theatrhythm: Final Fantasy,3DS,Misc,0.5
Bleach: Soul Resurreccion,PS3,Fighting,0.5
Madden NFL 07,Wii,Sports,0.5
Rugrats in Paris: The Movie,N64,Action,0.5
Dance Dance Revolution Universe 2,X360,Simulation,0.5
Star Wars: Jedi Starfighter,PS2,Simulation,0.5
Tactics Ogre: The Knight of Lodis,GBA,Role-Playing,0.5
Fortune Street,Wii,Misc,0.5
Super Robot Taisen MX,PS2,Strategy,0.5
Alice in Wonderland,DS,Adventure,0.5
NBA Street Homecourt,X360,Sports,0.5
Spider-Man 2,DS,Action,0.5
Bases Loaded '96: Double Header,PS,Sports,0.5
Dead or Alive Ultimate,XB,Fighting,0.5
RPG Maker,PS,Role-Playing,0.5
FIFA 14,PSV,Sports,0.5
Star Wars: Clone Wars,PS2,Shooter,0.5
The Saboteur,PS3,Action,0.5
The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,PS2,Action,0.5
Metal Gear Rising: Revengeance,X360,Action,0.5
Madden NFL 11,PS2,Sports,0.5
Major League Baseball 2K12,X360,Sports,0.5
Alien: Isolation,XOne,Shooter,0.5
The Price is Right,DS,Misc,0.5
Monster Hunter,PS2,Role-Playing,0.5
Cars 2,X360,Racing,0.5
Dreamworks Madagascar Kartz,Wii,Racing,0.5
Tony Hawk's Underground 2,GC,Sports,0.5
SplashDown: Rides Gone Wild,PS2,Racing,0.5
Super Famista 5,SNES,Sports,0.5
Dynasty Warriors: Gundam 2,PS3,Action,0.5
Shrek SuperSlam,PS2,Action,0.5
Rayman Advance,GBA,Platform,0.5
Super Robot Taisen Z,PS2,Strategy,0.5
PoPoLoCrois Monogatari,PS,Role-Playing,0.5
Tomb Raider: Anniversary,PS2,Action,0.5
Fantastic 4,PS2,Action,0.5
Epic Mickey 2: The Power of Two,PS3,Action,0.5
Men in Black II: Alien Escape,PS2,Shooter,0.5
The Evil Within,X360,Action,0.5
RealSports Tennis,2600,Sports,0.5
Nicktoons: Attack of the Toybots,PS2,Platform,0.5
Raiders of the Lost Ark,2600,Action,0.5
Gauntlet,2600,Action,0.5
Ridge Racer 3D,3DS,Racing,0.5
Cars Mater-National Championship,Wii,Racing,0.49
Ace Combat: Assault Horizon,X360,Action,0.49
Resident Evil: The Mercenaries 3D,3DS,Action,0.49
Super Monkey Ball 3D,3DS,Action,0.49
Tony Hawk's Project 8,X360,Sports,0.49
Tony Hawk's Underground 2,GBA,Sports,0.49
MotorStorm: Apocalypse,PS3,Racing,0.49
Ice Hockey,2600,Sports,0.49
Dragon Quest Heroes: The World's Tree Woe and the Blight Below,PS3,Action,0.49
Lego Batman 3: Beyond Gotham,PSV,Action,0.49
The Matrix: Path of Neo,PS2,Action,0.49
Kane & Lynch 2: Dog Days,X360,Shooter,0.49
Lollipop Chainsaw,X360,Action,0.49
WWE Wrestlemania X8,GC,Fighting,0.49
Sonic Lost World,3DS,Platform,0.49
Power Rangers: Dino Thunder,GBA,Action,0.49
GoldenEye: Rogue Agent,XB,Shooter,0.49
Ultimate I Spy,Wii,Adventure,0.49
SpongeBob SquarePants: Creature from the Krusty Krab,DS,Platform,0.49
The Sims,GC,Simulation,0.49
Grandia III,PS2,Role-Playing,0.49
FIFA Soccer 09,DS,Sports,0.49
Mobile Suit Gundam Seed Destiny: Rengou vs. Z.A.F.T. II Plus,PS2,Shooter,0.49
Mario & Wario,SNES,Puzzle,0.49
Scarface: The World is Yours,XB,Action,0.49
"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",Wii,Shooter,0.49
Pokemon Art Academy,3DS,Misc,0.49
FIFA Soccer 64,N64,Sports,0.49
Dragon Ball Z: Burst Limit,X360,Fighting,0.49
Bakugan Battle Brawlers: Defenders of the Core,DS,Action,0.49
Medal of Honor,PC,Shooter,0.49
Doom 3 BFG Edition,X360,Shooter,0.49
J-League Pro Soccer Club wo Tsukurou! 2,SAT,Sports,0.49
Terraria,PS3,Action,0.49
Backyard Baseball,PS2,Sports,0.49
WipEout Pulse,PS2,Racing,0.49
Barbie Horse Adventures: Wild Horse Rescue,PS2,Sports,0.49
Epic Mickey: Power of Illusion,3DS,Action,0.49
LEGO Marvel Super Heroes,DS,Action,0.49
Taiko no Tatsujin: Appare Sandaime,PS2,Misc,0.49
Alone in the Dark,X360,Adventure,0.49
One Piece: Grand Battle!,PS,Fighting,0.49
"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",PS2,Shooter,0.49
Football Manager Handheld 2009,PSP,Sports,0.49
Sniper: Art of Victory,PC,Shooter,0.49
Crazy Taxi,GC,Racing,0.49
Spy Hunter 2,PS2,Racing,0.49
F1 2014,PS3,Racing,0.49
Pac-Man World 2,XB,Action,0.49
Bass Pro Shops: The Strike,Wii,Sports,0.49
Die Hard Trilogy 2: Viva Las Vegas,PS,Action,0.49
Jake Power: Fireman,DS,Adventure,0.49
Asphalt 3D,3DS,Racing,0.49
Momotarou Dentetsu X: Kyuushuu-hen mo Arubai,PS2,Misc,0.49
Steel Diver,3DS,Action,0.49
Tales of Legendia,PS2,Role-Playing,0.49
SimCity 2000,SNES,Simulation,0.49
Crash of the Titans,DS,Action,0.49
Far Cry 2,PC,Action,0.49
Battlefield: Hardline,PS3,Shooter,0.49
Harry Potter and the Order of the Phoenix,Wii,Action,0.49
Rayman Raving Rabbids: TV Party,DS,Misc,0.49
F.E.A.R. 2: Project Origin,PS3,Shooter,0.49
Sonic & All-Stars Racing Transformed,PSV,Racing,0.48
Scene It? Lights Camera Action,X360,Misc,0.48
Dead Space Extraction,Wii,Shooter,0.48
Scrabble 2007 Edition,DS,Puzzle,0.48
Shrek the Third,PS2,Action,0.48
Metal Gear Solid HD Edition,PSV,Action,0.48
Children of Mana,DS,Role-Playing,0.48
Madagascar: Operation Penguin,GBA,Action,0.48
Active Life: Extreme Challenge,Wii,Sports,0.48
The Sims 2: Pets,Wii,Simulation,0.48
Mario Golf: World Tour,3DS,Sports,0.48
Need for Speed: Porsche Unleashed,GBA,Racing,0.48
Yu-Gi-Oh! Forbidden Memories (JP sales),PS,Role-Playing,0.48
NFL Street 2,XB,Sports,0.48
Silent Hill: Shattered Memories,Wii,Action,0.48
Millipede,2600,Shooter,0.48
The Legend of the Mystical Ninja,SNES,Adventure,0.48
You're in the Movies,X360,Misc,0.48
Dark Sector,X360,Shooter,0.48
James Bond 007: Blood Stone,X360,Shooter,0.48
Jeopardy!,PS2,Misc,0.48
Destroy All Humans! 2,PS2,Action,0.48
ECW Hardcore Revolution,PS,Fighting,0.48
Pinball Hall of Fame: The Williams Collection,Wii,Misc,0.48
Tiger Woods PGA Tour 07,X360,Sports,0.48
Wu-Tang: Shaolin Style,PS,Fighting,0.48
World of Warcraft: Warlords of Draenor,PC,Action,0.48
Rock Band Unplugged,PSP,Misc,0.48
OkamiDen,DS,Adventure,0.48
Crash: Mind Over Mutant,X360,Platform,0.48
2010 FIFA World Cup South Africa,PSP,Sports,0.48
Secret Weapons Over Normandy,PS2,Simulation,0.48
Go Diego Go! Great Dinosaur Rescue,DS,Action,0.48
All-Star Baseball 99,N64,Sports,0.48
Harvest Moon 64,N64,Simulation,0.48
NCAA Football 09,PS2,Sports,0.48
Bratz: The Movie,PS2,Simulation,0.48
FIFA Soccer 13,WiiU,Action,0.48
Harvest Moon DS (US sales),DS,Simulation,0.48
Vigilante 8: 2nd Offense,PS,Racing,0.48
Two Worlds II,PS3,Role-Playing,0.48
Football Manager 2015,PC,Simulation,0.48
Theme Park Roller Coaster,PS2,Strategy,0.48
Need for Speed: Hot Pursuit,Wii,Racing,0.48
Skylanders: SuperChargers,WiiU,Action,0.48
Viva Pinata: Trouble in Paradise,X360,Simulation,0.48
Nickelodeon Team Umizoomi,DS,Action,0.48
FlingSmash,Wii,Action,0.48
NFL Xtreme 2,PS,Sports,0.48
Spider-Man 3,Wii,Platform,0.48
Midnight Club: Street Racing,GBA,Racing,0.48
Dynasty Warriors Gundam,PS3,Action,0.48
Tomb Raider: Underworld,Wii,Action,0.48
Final Fantasy Crystal Chronicles: Echoes of Time,DS,Role-Playing,0.48
Fable,X360,Role-Playing,0.48
Tiger Woods PGA Tour 06,XB,Sports,0.48
FIFA World Cup Germany 2006,X360,Sports,0.48
Up,PS2,Action,0.48
Grand Prix,2600,Racing,0.48
Ford Racing Off Road,Wii,Racing,0.48
SimCity Creator,Wii,Simulation,0.48
World of Outlaws: Sprint Cars 2002,PS2,Racing,0.48
Cars: Race-O-Rama,DS,Racing,0.48
Emergency Heroes,Wii,Racing,0.48
Fantavision,PS2,Puzzle,0.47
Double Dragon,2600,Action,0.47
Alien Trilogy,PS,Shooter,0.47
NBA Live 99,N64,Sports,0.47
Bravely Second: End Layer,3DS,Role-Playing,0.47
Dark Sector,PS3,Shooter,0.47
Unreal Tournament III,X360,Shooter,0.47
X-Men: Next Dimension,PS2,Fighting,0.47
Street Fighter X Tekken,X360,Fighting,0.47
The Godfather (JP sales),PS2,Action,0.47
MySims Racing,Wii,Racing,0.47
Hamsterz Life,DS,Action,0.47
Dragon Age Origins: Awakening,X360,Role-Playing,0.47
Super Puyo Puyo 2,SNES,Puzzle,0.47
Gauntlet Legends,PS,Action,0.47
Castlevania: Dawn of Sorrow,DS,Platform,0.47
Naruto Shippuden: Ultimate Ninja Storm Revolution,PS3,Fighting,0.47
Deadpool,PS3,Action,0.47
WipEout,PS,Action,0.47
ICO,PS2,Action,0.47
Silent Hill: Downpour,PS3,Action,0.47
2014 FIFA World Cup Brazil,X360,Sports,0.47
WWE SmackDown vs. Raw 2011,Wii,Fighting,0.47
Dragon Quest 25 Shuunen Kinin: Famicom & Super Famicom Dragon Quest I-II-III,Wii,Role-Playing,0.47
Victorious Boxers: Ippo's Road to Glory,PS2,Fighting,0.47
Petz Sports,Wii,Simulation,0.47
Lego Batman 3: Beyond Gotham,WiiU,Action,0.47
Densetsu no Stafi,GBA,Platform,0.47
Valkyrie Profile 2: Silmeria,PS2,Role-Playing,0.47
Hot Wheels Velocity X,PS2,Racing,0.47
Shadowrun,X360,Role-Playing,0.47
FIFA Soccer 13,PSV,Action,0.47
Virtua Tennis 4: World Tour,PSV,Sports,0.47
"Warhammer 40,000: Dawn of War II",PC,Strategy,0.47
Crazy Taxi: Fare Wars,PSP,Racing,0.47
Clash of Elementalists,DS,Action,0.47
Spider-Man 3,DS,Platform,0.47
Disney Infinity 3.0,PS3,Action,0.47
L.A. Rush,PS2,Racing,0.47
Bomberman Hero,N64,Platform,0.47
Automobili Lamborghini,N64,Racing,0.47
Quest 64,N64,Role-Playing,0.47
Momotarou Dentetsu V,PS,Misc,0.47
Doom 64,N64,Shooter,0.47
Boom Blox Bash Party,Wii,Puzzle,0.47
The Sims 3: Ambitions,PC,Simulation,0.47
Dead or Alive 4,X360,Fighting,0.47
Commando,2600,Action,0.47
Rise of Nightmares,X360,Action,0.47
The Princess and the Frog,Wii,Platform,0.47
NBA Ballers: Phenom,PS2,Sports,0.47
Need for Speed Carbon,XB,Racing,0.47
NHL 16,XOne,Sports,0.47
FIFA 12,PC,Sports,0.47
MTV Music Generator,PS,Misc,0.47
Spider-Man: Friend or Foe,DS,Action,0.47
Major League Baseball 2K13,X360,Sports,0.47
Super Momotarou Dentetsu DX,SNES,Misc,0.47
World Soccer Winning Eleven 8: Liveware Evolution,PS2,Sports,0.47
The Sims 3: Outdoor Living Stuff,PC,Simulation,0.47
Cars: Race-O-Rama,PS2,Racing,0.47
Downhill Domination,PS2,Racing,0.47
NHL 15,X360,Sports,0.47
Pirates of the Caribbean: Dead Man's Chest,GBA,Adventure,0.47
World Series of Poker,PS2,Misc,0.47
